Zeit;Kanal A
(ms);(V)

-5,00011165;1,35165500
-5,00000765;1,39825300
-4,99990365;1,39825300
-4,99979965;1,39825300
-4,99969565;1,35165500
-4,99959165;1,35165500
-4,99948765;1,39825300
-4,99938365;1,39825300
-4,99927965;1,35165500
-4,99917565;1,39825300
-4,99907165;1,39825300
-4,99896765;1,35165500
-4,99886365;1,39825300
-4,99875965;1,39825300
-4,99865565;1,35165500
-4,99855165;1,39825300
-4,99844765;1,35165500
-4,99834365;1,35165500
-4,99823965;1,35165500
-4,99813565;1,39825300
-4,99803165;1,39825300
-4,99792765;1,39825300
-4,99782365;1,35165500
-4,99771965;1,39825300
-4,99761565;1,39825300
-4,99751165;1,39825300
-4,99740765;1,35165500
-4,99730365;1,39825300
-4,99719965;1,39825300
-4,99709565;1,39825300
-4,99699165;1,39825300
-4,99688765;1,39825300
-4,99678365;1,35165500
-4,99667965;1,39825300
-4,99657565;1,35165500
-4,99647165;1,39825300
-4,99636765;1,35165500
-4,99626365;1,35165500
-4,99615965;1,39825300
-4,99605565;1,39825300
-4,99595165;1,39825300
-4,99584765;1,39825300
-4,99574365;1,35165500
-4,99563965;1,39825300
-4,99553565;1,39825300
-4,99543165;1,39825300
-4,99532765;1,35165500
-4,99522365;1,39825300
-4,99511965;1,39825300
-4,99501565;1,39825300
-4,99491165;1,35165500
-4,99480765;1,35165500
-4,99470365;1,35165500
-4,99459965;1,35165500
-4,99449565;1,39825300
-4,99439165;1,35165500
-4,99428765;1,39825300
-4,99418365;1,35165500
-4,99407965;1,39825300
-4,99397565;1,39825300
-4,99387165;1,39825300
-4,99376765;1,39825300
-4,99366365;1,39825300
-4,99355965;1,39825300
-4,99345565;1,35165500
-4,99335165;1,39825300
-4,99324765;1,39825300
-4,99314365;1,39825300
-4,99303965;1,35165500
-4,99293565;1,39825300
-4,99283165;1,35165500
-4,99272765;1,39825300
-4,99262365;1,39825300
-4,99251965;1,39825300
-4,99241565;1,39825300
-4,99231165;1,39825300
-4,99220765;1,39825300
-4,99210365;1,35165500
-4,99199965;1,35165500
-4,99189565;1,39825300
-4,99179165;1,39825300
-4,99168765;1,39825300
-4,99158365;1,39825300
-4,99147965;1,39825300
-4,99137565;1,39825300
-4,99127165;1,39825300
-4,99116765;1,39825300
-4,99106365;1,39825300
-4,99095965;1,35165500
-4,99085565;1,39825300
-4,99075165;1,39825300
-4,99064765;1,39825300
-4,99054365;1,35165500
-4,99043965;1,39825300
-4,99033565;1,35165500
-4,99023165;1,39825300
-4,99012765;1,35165500
-4,99002365;1,39825300
-4,98991965;1,39825300
-4,98981565;1,39825300
-4,98971165;1,39825300
-4,98960765;1,39825300
-4,98950365;1,39825300
-4,98939965;1,39825300
-4,98929565;1,39825300
-4,98919165;1,39825300
-4,98908765;1,39825300
-4,98898365;1,39825300
-4,98887965;1,39825300
-4,98877565;1,39825300
-4,98867165;1,39825300
-4,98856765;1,39825300
-4,98846365;1,39825300
-4,98835965;1,35165500
-4,98825565;1,35165500
-4,98815165;1,35165500
-4,98804765;1,35165500
-4,98794365;1,39825300
