Zeit;Kanal A
(ms);(V)

-5,00011165;0,51258000
-5,00000765;0,51258000
-4,99990365;0,51258000
-4,99979965;0,51258000
-4,99969565;0,51258000
-4,99959165;0,51258000
-4,99948765;0,46598180
-4,99938365;0,55933200
-4,99927965;0,46598180
-4,99917565;0,51258000
-4,99907165;0,51258000
-4,99896765;0,51258000
-4,99886365;0,41938360
-4,99875965;0,51258000
-4,99865565;0,46598180
-4,99855165;0,51258000
-4,99844765;0,51258000
-4,99834365;0,46598180
-4,99823965;0,46598180
-4,99813565;0,51258000
-4,99803165;0,46598180
-4,99792765;0,51258000
-4,99782365;0,46598180
-4,99771965;0,51258000
-4,99761565;0,51258000
-4,99751165;0,51258000
-4,99740765;0,51258000
-4,99730365;0,51258000
-4,99719965;0,51258000
-4,99709565;0,51258000
-4,99699165;0,51258000
-4,99688765;0,51258000
-4,99678365;0,51258000
-4,99667965;0,51258000
-4,99657565;0,51258000
-4,99647165;0,51258000
-4,99636765;0,46598180
-4,99626365;0,51258000
-4,99615965;0,51258000
-4,99605565;0,51258000
-4,99595165;0,51258000
-4,99584765;0,51258000
-4,99574365;0,51258000
-4,99563965;0,51258000
-4,99553565;0,51258000
-4,99543165;0,51258000
-4,99532765;0,51258000
-4,99522365;0,46598180
-4,99511965;0,51258000
-4,99501565;0,51258000
-4,99491165;0,51258000
-4,99480765;0,51258000
-4,99470365;0,51258000
-4,99459965;0,51258000
-4,99449565;0,51258000
-4,99439165;0,51258000
-4,99428765;0,51258000
-4,99418365;0,51258000
-4,99407965;0,51258000
-4,99397565;0,51258000
-4,99387165;0,51258000
-4,99376765;0,51258000
-4,99366365;0,51258000
-4,99355965;0,51258000
-4,99345565;0,51258000
-4,99335165;0,46598180
-4,99324765;0,46598180
-4,99314365;0,51258000
-4,99303965;0,46598180
-4,99293565;0,51258000
-4,99283165;0,51258000
-4,99272765;0,51258000
-4,99262365;0,51258000
-4,99251965;0,51258000
-4,99241565;0,51258000
-4,99231165;0,51258000
-4,99220765;0,51258000
-4,99210365;0,55933200
-4,99199965;0,51258000
-4,99189565;0,51258000
-4,99179165;0,55933200
-4,99168765;0,51258000
-4,99158365;0,51258000
-4,99147965;0,51258000
-4,99137565;0,51258000
-4,99127165;0,51258000
-4,99116765;0,51258000
-4,99106365;0,51258000
-4,99095965;0,51258000
-4,99085565;0,51258000
-4,99075165;0,51258000
-4,99064765;0,51258000
-4,99054365;0,51258000
-4,99043965;0,51258000
-4,99033565;0,51258000
-4,99023165;0,51258000
-4,99012765;0,51258000
-4,99002365;0,51258000
-4,98991965;0,51258000
-4,98981565;0,51258000
-4,98971165;0,51258000
-4,98960765;0,51258000
-4,98950365;0,51258000
-4,98939965;0,51258000
-4,98929565;0,51258000
-4,98919165;0,51258000
-4,98908765;0,51258000
-4,98898365;0,51258000
-4,98887965;0,51258000
-4,98877565;0,51258000
-4,98867165;0,51258000
-4,98856765;0,51258000
-4,98846365;0,46598180
-4,98835965;0,51258000
-4,98825565;0,51258000
-4,98815165;0,51258000
-4,98804765;0,51258000
-4,98794365;0,51258000
