Zeit;Kanal A
(ms);(V)

-5,00005965;0,93211730
-4,99995565;0,93211730
-4,99985165;0,93211730
-4,99974765;0,93211730
-4,99964365;0,93211730
-4,99953965;0,88551920
-4,99943565;0,93211730
-4,99933165;0,88551920
-4,99922765;0,88551920
-4,99912365;0,93211730
-4,99901965;0,93211730
-4,99891565;0,88551920
-4,99881165;0,88551920
-4,99870765;0,93211730
-4,99860365;0,93211730
-4,99849965;0,88551920
-4,99839565;0,88551920
-4,99829165;0,88551920
-4,99818765;0,88551920
-4,99808365;0,88551920
-4,99797965;0,93211730
-4,99787565;0,88551920
-4,99777165;0,88551920
-4,99766765;0,88551920
-4,99756365;0,88551920
-4,99745965;0,93211730
-4,99735565;0,93211730
-4,99725165;0,88551920
-4,99714765;0,93211730
-4,99704365;0,93211730
-4,99693965;0,93211730
-4,99683565;0,93211730
-4,99673165;0,88551920
-4,99662765;0,88551920
-4,99652365;0,93211730
-4,99641965;0,93211730
-4,99631565;0,93211730
-4,99621165;0,88551920
-4,99610765;0,88551920
-4,99600365;0,88551920
-4,99589965;0,88551920
-4,99579565;0,93211730
-4,99569165;0,93211730
-4,99558765;0,93211730
-4,99548365;0,88551920
-4,99537965;0,88551920
-4,99527565;0,88551920
-4,99517165;0,93211730
-4,99506765;0,93211730
-4,99496365;0,93211730
-4,99485965;0,93211730
-4,99475565;0,88551920
-4,99465165;0,93211730
-4,99454765;0,88551920
-4,99444365;0,88551920
-4,99433965;0,93211730
-4,99423565;0,88551920
-4,99413165;0,93211730
-4,99402765;0,93211730
-4,99392365;0,93211730
-4,99381965;0,88551920
-4,99371565;0,88551920
-4,99361165;0,88551920
-4,99350765;0,93211730
-4,99340365;0,93211730
-4,99329965;0,93211730
-4,99319565;0,93211730
-4,99309165;0,93211730
-4,99298765;0,93211730
-4,99288365;0,88551920
-4,99277965;0,88551920
-4,99267565;0,93211730
-4,99257165;0,88551920
-4,99246765;0,88551920
-4,99236365;0,88551920
-4,99225965;0,88551920
-4,99215565;0,88551920
-4,99205165;0,88551920
-4,99194765;0,88551920
-4,99184365;0,88551920
-4,99173965;0,93211730
-4,99163565;0,93211730
-4,99153165;0,93211730
-4,99142765;0,93211730
-4,99132365;0,93211730
-4,99121965;0,93211730
-4,99111565;0,93211730
-4,99101165;0,93211730
-4,99090765;0,93211730
-4,99080365;0,88551920
-4,99069965;0,88551920
-4,99059565;0,88551920
-4,99049165;0,93211730
-4,99038765;0,88551920
-4,99028365;0,93211730
-4,99017965;0,93211730
-4,99007565;0,88551920
-4,98997165;0,88551920
-4,98986765;0,93211730
-4,98976365;0,93211730
-4,98965965;0,93211730
-4,98955565;0,88551920
-4,98945165;0,93211730
-4,98934765;0,88551920
-4,98924365;0,93211730
-4,98913965;0,93211730
-4,98903565;0,93211730
-4,98893165;0,88551920
-4,98882765;0,93211730
-4,98872365;0,88551920
-4,98861965;0,93211730
-4,98851565;0,88551920
-4,98841165;0,88551920
-4,98830765;0,88551920
-4,98820365;0,93211730
-4,98809965;0,93211730
-4,98799565;0,93211730
-4,98789165;0,88551920
