Zeit;Kanal A
(ms);(mV)

0,00000000;-0,18577760
0,00500000;-1,86146600
0,01000000;-0,74434050
0,01500000;-2,04724400
0,02000000;-0,74434050
0,02500000;-2,04724400
0,03000000;-2,04724400
0,03500000;-2,79220000
0,04000000;-2,04724400
0,04500000;-2,04724400
0,05000000;-2,23363700
0,05500000;-1,67507400
0,06000000;-1,67507400
0,06500000;-2,04724400
0,07000000;-1,11651100
0,07500000;-2,60580700
0,08000000;-2,23363700
0,08500000;-2,23363700
0,09000000;-1,48868100
0,09500000;-2,04724400
0,10000000;-0,93073320
0,10500000;-2,60580700
0,11000000;-2,23363700
0,11500000;-1,67507400
0,12000000;-1,67507400
0,12500000;-2,97797700
0,13000000;-2,04724400
0,13500000;-1,67507400
0,14000000;-2,60580700
0,14500000;-2,23363700
0,15000000;-2,23363700
0,15500000;-2,41941400
0,16000000;-0,74434050
0,16500000;-2,41941400
0,17000000;-1,86146600
0,17500000;-2,23363700
0,18000000;-1,48868100
0,18500000;-1,86146600
0,19000000;-1,86146600
0,19500000;-2,60580700
0,19999999;-2,23363700
0,20499999;-2,04724400
0,20999999;-3,53654000
0,21499999;-2,04724400
0,21999999;-3,35014700
0,22499999;-2,04724400
0,22999999;-2,97797700
0,23499999;-2,97797700
0,23999999;-1,48868100
0,24499999;-2,41941400
0,24999999;-2,04724400
0,25499999;-2,60580700
0,25999999;-2,60580700
0,26499999;-3,16437000
0,26999999;-2,60580700
0,27499999;-2,23363700
0,27999999;-1,30290300
0,28499999;-2,60580700
0,28999999;-3,35014700
0,29499999;-2,23363700
0,29999999;-3,72293300
0,30499999;-3,16437000
0,30999999;-2,60580700
0,31499999;-2,97797700
0,31999999;-2,04724400
0,32499999;-2,79220000
0,32999999;-2,41941400
0,33499999;-3,16437000
0,33999999;-2,23363700
0,34499999;-3,35014700
0,34999999;-2,23363700
0,35499999;-3,90871000
0,35999999;-3,16437000
0,36499999;-3,90871000
0,36999999;-4,65366600
0,37499999;-2,97797700
0,37999999;-2,97797700
